Name,Type,Address,Suburb,Postcode,State,LHN,Geographical LHN,Governing Body,latitude,longitude
SA PATH - Adelaide (Royal Adelaide Hospital),SA Pathology,"Level 3H, Port Road",Adelaide,5000,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.92041919,138.5866223
SA PATH - Adelaide (SA Pathology Laboratory),SA Pathology,Frome Road,Adelaide,5000,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.91974018,138.6081123
SA PATH - Bedford Park (Flinders Medical Centre),SA Pathology,"Level 6, Room 6D101, Flinders Drive",Bedford Park,5042,SA,Southern Adelaide Local Health Network,SALHN,SCSS,-35.02139743,138.5687788
SA PATH - Elizabeth Vale (Lyell McEwin Health Service),SA Pathology,Haydown Road,Elizabeth Vale,5112,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.74800019,138.6660231
SA PATH - Gawler Health Service,SA Pathology,21 Hutchinson Road,Gawler,5118,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SCSS,-34.59396979,138.7548077
SA PATH - Modbury Hospital,SA Pathology,Smart Road,Modbury,5092,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.83391475,138.6907527
SA PATH - Noarlunga Health Service,SA Pathology,Alexander Kelly Drive,Noarlunga Centre,5168,SA,Southern Adelaide Local Health Network,SALHN,SCSS,-35.13948442,138.4987324
SA PATH - North Adelaide (Women's and Children's Hospital),SA Pathology,"4th floor Rieger Building, King William Road (via Kermode Street Main Entrance)",North Adelaide,5006,SA,Women's and Children's Health Network,WCHN,SCSS,-34.91189469,138.5998879
SA PATH - Woodville (The Queen Elizabeth Hospital),SA Pathology,28 Woodville Road,Woodville,5011,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.88395273,138.5334658
SA PATH - Berri Hospital,SA Pathology,Maddern Avenue,Berri,5343,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SCSS,-34.27544414,140.6008092
SA PATH - Mount Gambier Hospital,SA Pathology,Wehl Street North,Mount Gambier,5290,SA,Limestone Coast Local Health Network,LCLHN,SCSS,-37.80538705,140.7862602
SA PATH - Murray Bridge Hospital,SA Pathology,Swanport Road,Murray Bridge,5253,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SCSS,-35.12865375,139.2807644
SA PATH - Port Augusta Hospital,SA Pathology,Hospital Road,",Port Augusta",5700,SA,Flinders and Upper North Local Health Network,FUNLHN,SCSS,-32.50968465,137.7752603
SA PATH - Port Lincoln Hospital,SA Pathology,Oxford Terrace,Port Lincoln,5606,SA,Eyre and Far North Local Health Network,EFNLHN,SCSS,-34.72429076,135.8498349
SA PATH - Port Pirie Hospital,SA Pathology,Alexander Street,Port Pirie,5540,SA,Yorke and Northern Local Health Network,YNLHN,SCSS,-33.17782006,138.0044256
SA PATH - Victor Harbor (South Coast District Hospital),SA Pathology,Harbour View Terrace,Victor Harbor,5211,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SCSS,-35.56105153,138.6077734
SA PATH - Wallaroo Hospital,SA Pathology,Ernest Terrace,Wallaroo,5556,SA,Yorke and Northern Local Health Network,YNLHN,SCSS,-33.92799792,137.6368333
SA PATH - Whyalla Hospital,SA Pathology,Wood Terrace,Whyalla,5600,SA,Flinders and Upper North Local Health Network,FUNLHN,SCSS,-33.03396555,137.5768292
SAMI - Clare Hospital,SA Medical Imaging,47 Farrel Flat Road,Clare,5453,SA,Yorke and Northern Local Health Network,YNLHN,SCSS,-33.82945949,138.6142729
SAMI - Flinders Medical Centre,SA Medical Imaging,Flinders Drive,Bedford Park,5042,SA,Southern Adelaide Local Health Network,SALHN,SCSS,-35.02044602,138.5690117
"SAMI - Lyell McEwin Hospital, Nuclear Medicine",SA Medical Imaging,120-130 Haydown Road,Elizabeth Vale,5112,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.74777585,138.6644872
"SAMI - Lyell McEwin Hospital, Medical Imaging",SA Medical Imaging,120-130 Haydown Road,Elizabeth Vale,5112,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.7472805,138.6638429
SAMI - Murray Bridge Soldiers’ Memorial Hospital,SA Medical Imaging,96 Swanport Road,Murray Bridge,5253,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SCSS,-35.12886921,139.2802788
SAMI - Port Pirie Regional Health Service,SA Medical Imaging,Alexander Street,Port Pirie,5540,SA,Yorke and Northern Local Health Network,YNLHN,SCSS,-33.17709701,138.0043685
SAMI - QE Specialist Centre,SA Medical Imaging,35 Woodville Road,Woodville South,5011,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.88276364,138.5332574
SAMI - Repat Health Precinct,SA Medical Imaging,216 Daws Road,Daw Park,5041,SA,Southern Adelaide Local Health Network,SALHN,SCSS,-34.9906983,138.5887889
SAMI - Riverland General Hospital,SA Medical Imaging,10 Maddern Street,Berri,5343,SA,Riverland Mallee Coorong Local Health Network,RMCLHN,SCSS,-34.27610083,140.6016612
"SAMI - Royal Adelaide Hospital, Medical Imaging",SA Medical Imaging,Port Road,Adelaide,5000,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.92094784,138.5864622
"SAMI - Royal Adelaide Hospital, Nuclear Medicine",SA Medical Imaging,Port Road,Adelaide,5000,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.92109714,138.5877215
"SAMI - The Queen Elizabeth Hospital, Medical Imaging ",SA Medical Imaging,28 Woodville Road,Woodville South,5011,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.88349995,138.5337087
"SAMI - The Queen Elizabeth Hospital, Nuclear Medicine",SA Medical Imaging,28 Woodville Road,Woodville South,5011,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.88357683,138.5331827
SAMI - Women’s and Children’s Hospital,SA Medical Imaging,72 King William Road,North Adelaide,5006,SA,Women's and Children's Health Network,WCHN,SCSS,-34.91165816,138.5998633
SADS - Adelaide Dental Hospital,SA Dental,Corner of North Terrace and George Street,Adelaide,5000,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.921506,138.591268
SADS - Angle Park (Parks),SA Dental,"Parks Community Dental Clinic, 2/40-44 Trafford Street",Angle Park,5010,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.858918,138.55706
SADS - Elizabeth GP Plus,SA Dental,16 Playford Boulevard,Elizabeth,5112,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.716801,138.6710785
SADS - Evanston,SA Dental,20 Para Road,Evanston,5116,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SCSS,-34.616081,138.734003
SADS - Fulham Gardens,SA Dental,Mitton Avenue,Henley Beach,5022,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.91261,138.504169
SADS - Gawler,SA Dental,"Gawler Health Service, 21 Hutchinson Road",Gawler East,5118,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SCSS,-34.593246,138.755161
SADS - Gilles Plains,SA Dental,"TAFE SA, 33 Blacks Road",Gilles Plains,5086,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.851852,138.653039
SADS - Hendon,SA Dental,162 Cedar Avenue,Royal Park,5014,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.878818,138.510869
SADS - Linden Park,SA Dental,5 Highfield Avenue,St Georges,5064,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.948206,138.644555
SADS - Magill,SA Dental,Magill Primary School,Magill,5072,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.913917,138.679206
SADS - Marion GP Plus,SA Dental,"Level 1, 10 Milham Street",Oaklands Park,5046,SA,Southern Adelaide Local Health Network,SALHN,SCSS,-35.01327,138.542127
SADS - Marleston,SA Dental,229B Marion Road,Marleston,5033,SA,Central Adelaide Local Health Network,CALHN,SCSS,-34.945034,138.554218
SADS - Millicent,SA Dental,17 Ninth Street,Millicent,5280,SA,Limestone Coast Local Health Network,LCLHN,SCSS,-37.593187,140.342106
SADS - Mitcham,SA Dental,"Mitcham Primary School, Elphyn Road",Kingswood,5062,SA,Southern Adelaide Local Health Network,SALHN,SCSS,-34.972971,138.616272
SADS - Modbury GP Plus,SA Dental,77 Smart Road,Modbury,5092,SA,Northern Adelaide Local Health Network,NALHN,SCSS,-34.833645,138.692326
SADS - Mount Barker - Kids,SA Dental,"Mount Barker Primary School, 2A Dumas Street",Mount Barker,5251,SA,Barossa Hills Fleurieu Local Health Network,BHFLHN,SCSS,-35.067006,138.85346
